Namespace(device='cuda:1', in_size=3, num_classes=2, fusion_type='early', gcn_channels=3, gcn_hidden=64, gcn_layers=4, gcn_dropout=0.1, trans_num_layers=4, input_node_dim=3, hidden_node_dim=32, input_edge_dim=0, hidden_edge_dim=32, ouput_dim=None, n_heads=4, max_in_degree=5, max_out_degree=5, max_path_distance=5, hidden_dim=64, num_layers=4, num_features=3, num_heads=8, dropout=0.1, pos_encoding='gcn', att_dropout=0.1, d_k=64, d_v=64, pos_embed_type='s', alpha=0.4, num_fusion_layers=4, loss_log=1, output_dim=2)
Epoch: 088,  Train loss: 0.538944,  Train Acc: 0.725843,  Test Acc: 0.699552
Epoch: 089,  Train loss: 0.539434,  Train Acc: 0.739326,  Test Acc: 0.695067
Epoch: 090,  Train loss: 0.546078,  Train Acc: 0.728090,  Test Acc: 0.699552
Epoch: 091,  Train loss: 0.544490,  Train Acc: 0.739326,  Test Acc: 0.686099
Epoch: 092,  Train loss: 0.543619,  Train Acc: 0.734831,  Test Acc: 0.699552
Epoch: 093,  Train loss: 0.533982,  Train Acc: 0.741573,  Test Acc: 0.695067
Epoch: 094,  Train loss: 0.540365,  Train Acc: 0.730337,  Test Acc: 0.713004
Epoch: 095,  Train loss: 0.538745,  Train Acc: 0.738202,  Test Acc: 0.704036
Epoch: 096,  Train loss: 0.543753,  Train Acc: 0.747191,  Test Acc: 0.695067
Epoch: 097,  Train loss: 0.535106,  Train Acc: 0.740449,  Test Acc: 0.699552
Epoch: 098,  Train loss: 0.536446,  Train Acc: 0.743820,  Test Acc: 0.704036
Epoch: 099,  Train loss: 0.526157,  Train Acc: 0.741573,  Test Acc: 0.704036
Epoch: 100,  Train loss: 0.533936,  Train Acc: 0.748315,  Test Acc: 0.713004
Epoch: 101,  Train loss: 0.533127,  Train Acc: 0.744944,  Test Acc: 0.713004
Epoch: 102,  Train loss: 0.541111,  Train Acc: 0.746067,  Test Acc: 0.708520
Epoch: 103,  Train loss: 0.528148,  Train Acc: 0.741573,  Test Acc: 0.699552
Epoch: 104,  Train loss: 0.530790,  Train Acc: 0.735955,  Test Acc: 0.721973
Epoch: 105,  Train loss: 0.528962,  Train Acc: 0.749438,  Test Acc: 0.695067
Epoch: 106,  Train loss: 0.529771,  Train Acc: 0.739326,  Test Acc: 0.704036
Epoch: 107,  Train loss: 0.525284,  Train Acc: 0.747191,  Test Acc: 0.695067
Epoch: 108,  Train loss: 0.528567,  Train Acc: 0.734831,  Test Acc: 0.690583
Epoch: 109,  Train loss: 0.539261,  Train Acc: 0.725843,  Test Acc: 0.695067
Epoch: 110,  Train loss: 0.530877,  Train Acc: 0.737079,  Test Acc: 0.690583
Epoch: 111,  Train loss: 0.530196,  Train Acc: 0.740449,  Test Acc: 0.690583
Epoch: 112,  Train loss: 0.540032,  Train Acc: 0.705618,  Test Acc: 0.699552
Epoch: 113,  Train loss: 0.534296,  Train Acc: 0.740449,  Test Acc: 0.708520
Epoch: 114,  Train loss: 0.539673,  Train Acc: 0.742697,  Test Acc: 0.695067
Epoch: 115,  Train loss: 0.529265,  Train Acc: 0.751685,  Test Acc: 0.704036
Epoch: 116,  Train loss: 0.538137,  Train Acc: 0.734831,  Test Acc: 0.713004
Epoch: 117,  Train loss: 0.535049,  Train Acc: 0.741573,  Test Acc: 0.686099
Epoch: 118,  Train loss: 0.529111,  Train Acc: 0.730337,  Test Acc: 0.713004
Epoch: 119,  Train loss: 0.532804,  Train Acc: 0.761798,  Test Acc: 0.721973
Epoch: 120,  Train loss: 0.539614,  Train Acc: 0.735955,  Test Acc: 0.721973
Epoch: 121,  Train loss: 0.538906,  Train Acc: 0.740449,  Test Acc: 0.708520
Epoch: 122,  Train loss: 0.532015,  Train Acc: 0.747191,  Test Acc: 0.699552
Epoch: 123,  Train loss: 0.525775,  Train Acc: 0.735955,  Test Acc: 0.717489
Epoch: 124,  Train loss: 0.534950,  Train Acc: 0.749438,  Test Acc: 0.690583
Epoch: 125,  Train loss: 0.532615,  Train Acc: 0.730337,  Test Acc: 0.704036
Epoch: 126,  Train loss: 0.534997,  Train Acc: 0.742697,  Test Acc: 0.699552
Epoch: 127,  Train loss: 0.536372,  Train Acc: 0.739326,  Test Acc: 0.699552
Epoch: 128,  Train loss: 0.539704,  Train Acc: 0.739326,  Test Acc: 0.699552
Epoch: 129,  Train loss: 0.529462,  Train Acc: 0.749438,  Test Acc: 0.699552
Epoch: 130,  Train loss: 0.527434,  Train Acc: 0.747191,  Test Acc: 0.704036
Epoch: 131,  Train loss: 0.536933,  Train Acc: 0.748315,  Test Acc: 0.695067
Epoch: 132,  Train loss: 0.527092,  Train Acc: 0.748315,  Test Acc: 0.708520
Epoch: 133,  Train loss: 0.527813,  Train Acc: 0.752809,  Test Acc: 0.726457
Epoch: 134,  Train loss: 0.535454,  Train Acc: 0.753933,  Test Acc: 0.713004
Epoch: 135,  Train loss: 0.527225,  Train Acc: 0.738202,  Test Acc: 0.713004
Epoch: 136,  Train loss: 0.523219,  Train Acc: 0.753933,  Test Acc: 0.713004
Epoch: 137,  Train loss: 0.541367,  Train Acc: 0.738202,  Test Acc: 0.708520
Epoch: 138,  Train loss: 0.529193,  Train Acc: 0.748315,  Test Acc: 0.699552
Epoch: 139,  Train loss: 0.528343,  Train Acc: 0.766292,  Test Acc: 0.726457
Epoch: 140,  Train loss: 0.524137,  Train Acc: 0.752809,  Test Acc: 0.721973
Epoch: 141,  Train loss: 0.518156,  Train Acc: 0.732584,  Test Acc: 0.717489
Epoch: 142,  Train loss: 0.518889,  Train Acc: 0.750562,  Test Acc: 0.708520
Epoch: 143,  Train loss: 0.526989,  Train Acc: 0.747191,  Test Acc: 0.717489
Epoch: 144,  Train loss: 0.529696,  Train Acc: 0.758427,  Test Acc: 0.721973
Epoch: 145,  Train loss: 0.516173,  Train Acc: 0.757303,  Test Acc: 0.721973
Epoch: 146,  Train loss: 0.529824,  Train Acc: 0.748315,  Test Acc: 0.717489
Epoch: 147,  Train loss: 0.528519,  Train Acc: 0.746067,  Test Acc: 0.717489
Epoch: 148,  Train loss: 0.526154,  Train Acc: 0.740449,  Test Acc: 0.713004
Epoch: 149,  Train loss: 0.529910,  Train Acc: 0.753933,  Test Acc: 0.708520
Epoch: 150,  Train loss: 0.522799,  Train Acc: 0.739326,  Test Acc: 0.713004
Epoch: 151,  Train loss: 0.519901,  Train Acc: 0.746067,  Test Acc: 0.708520
Epoch: 152,  Train loss: 0.520911,  Train Acc: 0.749438,  Test Acc: 0.717489
Epoch: 153,  Train loss: 0.519096,  Train Acc: 0.757303,  Test Acc: 0.721973
Epoch: 154,  Train loss: 0.515851,  Train Acc: 0.742697,  Test Acc: 0.708520
Epoch: 155,  Train loss: 0.524070,  Train Acc: 0.764045,  Test Acc: 0.717489
Epoch: 156,  Train loss: 0.522903,  Train Acc: 0.741573,  Test Acc: 0.717489
Epoch: 157,  Train loss: 0.516007,  Train Acc: 0.760674,  Test Acc: 0.717489
Epoch: 158,  Train loss: 0.514022,  Train Acc: 0.755056,  Test Acc: 0.721973
Epoch: 159,  Train loss: 0.522870,  Train Acc: 0.761798,  Test Acc: 0.717489
Epoch: 160,  Train loss: 0.528925,  Train Acc: 0.755056,  Test Acc: 0.713004
Epoch: 161,  Train loss: 0.529734,  Train Acc: 0.743820,  Test Acc: 0.699552
Epoch: 162,  Train loss: 0.517937,  Train Acc: 0.755056,  Test Acc: 0.717489
Epoch: 163,  Train loss: 0.523626,  Train Acc: 0.753933,  Test Acc: 0.717489
Epoch: 164,  Train loss: 0.532450,  Train Acc: 0.758427,  Test Acc: 0.708520
Epoch: 165,  Train loss: 0.523859,  Train Acc: 0.753933,  Test Acc: 0.726457
Epoch: 166,  Train loss: 0.528394,  Train Acc: 0.759551,  Test Acc: 0.713004
Epoch: 167,  Train loss: 0.530456,  Train Acc: 0.760674,  Test Acc: 0.721973
Epoch: 168,  Train loss: 0.520446,  Train Acc: 0.756180,  Test Acc: 0.726457
Epoch: 169,  Train loss: 0.514705,  Train Acc: 0.759551,  Test Acc: 0.721973
Epoch: 170,  Train loss: 0.511610,  Train Acc: 0.760674,  Test Acc: 0.717489
Epoch: 171,  Train loss: 0.512975,  Train Acc: 0.758427,  Test Acc: 0.708520
Epoch: 172,  Train loss: 0.524011,  Train Acc: 0.735955,  Test Acc: 0.704036
Epoch: 173,  Train loss: 0.516368,  Train Acc: 0.758427,  Test Acc: 0.713004
Epoch: 174,  Train loss: 0.524637,  Train Acc: 0.759551,  Test Acc: 0.713004
Epoch: 175,  Train loss: 0.521896,  Train Acc: 0.761798,  Test Acc: 0.726457
Epoch: 176,  Train loss: 0.518736,  Train Acc: 0.766292,  Test Acc: 0.717489
